Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Master_Swing,Candle No.,Slope,Price Delta,H-L,H-C,L-C,TR,ATR,Impluse Strength,Intermediate_Swing,ISL_Price,ISH_Price,ISH_Price_Ffill,ISL_Price_Ffill,Breaker_Signal,Bearish BOS,Bullish BOS,ISL Sweep,ISH Sweep,ISL Sweep Strength,ISH Sweep Strength,ISL_Sweep+BOS,ISH_Sweep+BOS,FVG_Bullish,FVG_Bearish,FVG_Bullish_Strength,FVG_Bearish_Strength,Swing_Low_value,Proximity_to_ISL
2026-04-09 13:15:00+05:30,522.0,522.5,519.2000122070312,522.0499877929688,679304,0.0,0.0,Swing Low,69,Sell Slope,3.337493896484375,3.29998779296875,0.54998779296875,-2.75,3.29998779296875,4.285731724330357,0.6374451268660196,Intermediate Swing Low,519.2000122070312,,533.4500122070312,519.2000122070312,False,False,False,False,False,,,False,False,False,False,,,519.2000122070312,False
2026-04-09 14:15:00+05:30,522.0,523.4500122070312,520.0499877929688,523.0999755859375,717878,0.0,0.0,Swing High,68,Buy Slope,3.29998779296875,3.4000244140625,1.4000244140625,-2.0,3.4000244140625,4.278590611049107,0.769994018579026,,,,533.4500122070312,519.2000122070312,False,False,False,False,False,,,False,False,False,False,,,,False
2026-04-09 15:15:00+05:30,523.1500244140625,523.3499755859375,521.5999755859375,523.1500244140625,573553,0.0,0.0,,67,,,1.75,0.25,-1.5,1.75,4.071446010044643,,,,,533.4500122070312,519.2000122070312,,,,False,False,,,False,False,True,False,0.4298227204002175,,,False
2026-04-10 09:15:00+05:30,527.5999755859375,535.9000244140625,526.9000244140625,533.7999877929688,0,0.0,0.0,Swing High,66,,,9.0,12.75,3.75,12.75,4.364301409040179,,Intermediate Swing High,,535.9000244140625,535.9000244140625,519.2000122070312,False,False,True,False,True,,2.0621857100331047,False,True,True,False,2.0621857100331047,,,False
2026-04-10 10:15:00+05:30,533.9500122070312,534.3499755859375,532.0999755859375,532.25,444241,0.0,0.0,,65,,,2.25,0.54998779296875,-1.70001220703125,2.25,4.271440778459821,,,,,535.9000244140625,519.2000122070312,,,,False,False,,,False,False,False,False,,,,False
2026-04-10 11:15:00+05:30,532.25,532.5,528.7000122070312,530.0999755859375,530400,0.0,0.0,,64,,,3.79998779296875,0.25,-3.54998779296875,3.79998779296875,4.507149832589286,,,,,535.9000244140625,519.2000122070312,,,,False,False,,,False,False,False,True,,0.8431021674701499,,False
2026-04-10 12:15:00+05:30,530.0499877929688,530.6500244140625,528.5999755859375,530.3499755859375,306100,0.0,0.0,Swing Low,63,Sell Slope,2.433349609375,2.050048828125,0.550048828125,-1.5,2.050048828125,4.185721261160714,0.5575576435519736,,,,535.9000244140625,519.2000122070312,False,False,False,False,False,,,False,False,False,False,,,528.5999755859375,False
2026-04-10 13:15:00+05:30,530.2999877929688,532.0,529.4500122070312,529.9000244140625,308898,0.0,0.0,Swing High,62,Buy Slope,2.050048828125,2.54998779296875,1.6500244140625,-0.89996337890625,2.54998779296875,4.078578404017857,0.4897719413730179,,,,535.9000244140625,519.2000122070312,False,False,False,False,False,,,False,False,False,False,,,,False
2026-04-10 14:15:00+05:30,529.8499755859375,530.8499755859375,527.25,530.25,608563,0.0,0.0,Swing Low,61,Sell Slope,4.75,3.5999755859375,0.949951171875,-2.6500244140625,3.5999755859375,4.107142857142857,1.1646214757869353,,,,535.9000244140625,519.2000122070312,False,False,False,False,False,,,False,False,False,False,,,527.25,False
2026-04-10 15:15:00+05:30,530.4000244140625,530.9000244140625,529.2000122070312,530.9000244140625,498206,0.0,0.0,Swing High,60,Buy Slope,3.5999755859375,1.70001220703125,0.6500244140625,-1.04998779296875,1.70001220703125,4.100001743861607,0.8765157948369566,,,,535.9000244140625,519.2000122070312,False,False,False,False,False,,,False,False,False,True,,0.41463694730775535,,False
2026-04-13 09:15:00+05:30,517.0,521.6500244140625,512.5,519.9500122070312,0,0.0,0.0,Swing Low,59,Sell Slope,18.4000244140625,9.1500244140625,-9.25,-18.4000244140625,9.1500244140625,3.585719517299107,4.487808923888981,Intermediate Swing Low,512.5,,535.9000244140625,512.5,False,True,False,True,False,2.551795914298012,,True,False,False,False,,,512.5,False
2026-04-13 10:15:00+05:30,519.5999755859375,529.2000122070312,519.0,528.6500244140625,1124591,0.0,0.0,,58,,,10.20001220703125,9.25,-0.95001220703125,10.20001220703125,4.721435546875,,,,,535.9000244140625,512.5,,,,False,False,,,False,False,True,False,2.1603624799627696,,,False
2026-04-13 11:15:00+05:30,528.75,534.2000122070312,528.75,531.4500122070312,1044786,0.0,0.0,Swing High,57,Buy Slope,4.57501220703125,5.45001220703125,5.54998779296875,0.0999755859375,5.54998779296875,4.971435546875,1.275897957149006,,,,535.9000244140625,512.5,True,False,False,False,False,,,False,False,True,False,1.096265285075873,,,False
2026-04-13 12:15:00+05:30,531.2000122070312,532.8499755859375,529.4000244140625,530.25,463764,0.0,0.0,,56,,,3.449951171875,1.39996337890625,-2.04998779296875,3.449951171875,5.171421595982143,,,,,535.9000244140625,512.5,,,,False,False,,,False,False,False,False,,,,False
2026-04-13 13:15:00+05:30,530.4000244140625,531.5,529.2999877929688,529.7000122070312,324013,0.0,0.0,,55,,,2.20001220703125,1.25,-0.95001220703125,2.20001220703125,5.121425083705357,,,,,535.9000244140625,512.5,,,,False,False,,,False,False,False,False,,,,False
